Id,Price
4567,166448.6197196757
5925,115801.05003918699
960,141545.96986015805
3848,153253.62131394088
746,193525.47860859387
868,320366.6412369803
672,120088.02973722017
2471,221304.45015122337
4510,128016.21919951757
8354,229748.82079259132
6393,203905.78365567877
13270,209849.31798613566
5250,312862.0815210537
16751,167910.23394699293
11404,131575.50833814827
10588,323214.7100666392
14925,194402.3535693122
6791,199285.9203415237
16097,194043.88308648957
16428,364848.51375954424
6945,375450.71082045353
3190,189274.98254549902
15709,465130.08707865997
13155,151996.45308344805
7675,196435.21565574603
14686,219134.94785183785
609,156883.3140659927
11155,163462.4374624897
10869,204623.94102734403
15742,235949.2422482257
9245,228855.40101802105
3340,175434.4936662166
2359,278042.84972093836
8070,198764.3719186939
13707,128419.38533034558
16079,259529.49656623622
15937,298813.5505862601
14090,190395.42040655945
9008,212903.06589902044
16384,170435.33458121092
11657,230826.10210909386
13151,152079.84822717763
8990,174545.77920472337
11857,186214.3441908376
1565,153266.42588011056
8174,113480.84675194226
9247,260844.6219689626
10478,211455.68326705054
15509,142056.18934641342
8306,238447.7654067444
6642,173742.14354952733
7472,211478.35992766113
15989,131877.28617988626
13682,144691.24732849645
163,368268.5860709898
7076,206485.45922779452
7478,372434.3385672982
3029,183977.80956259204
1814,141938.8554846513
10057,131329.71068291334
15100,194908.63484687402
12694,228651.6222026269
6291,191892.8147280394
12603,182178.61139766301
3218,240042.58065097153
13456,132587.7477135432
10170,239597.12545228106
4530,185561.2166098586
13329,187426.8901923067
4820,143526.53673520256
10896,173279.29140800444
13416,117004.41871387801
2701,211144.71113189592
11265,362194.14919841656
9189,314096.2792040909
1858,186891.0626525231
14536,233409.03142741017
6199,245514.79225010774
14730,136123.69495035883
7510,277716.6495281994
15505,168078.26655937993
7446,171262.77205806226
14016,193621.58266985454
14113,111491.20562883918
8721,292815.4425347322
6193,348731.5912457789
5717,174366.7764029546
5427,277094.67700362357
9520,491306.86614311405
6869,99164.90857918878
1658,162740.918508892
6639,220342.11277216248
6283,193524.8564593772
6257,124663.36618752313
15235,181912.8842814789
902,238862.21268675243
8932,202580.10878205983
16469,383824.18185752933
2825,261020.2219350916
6450,462318.22730302945
11366,172253.13120185488
3801,371506.61875199823
11385,209698.87540713837
1079,212117.71070798452
3202,230786.88602796852
676,215188.62821093644
6185,279491.7565822433
7730,164092.52086844604
2573,201271.84471582173
10978,225956.7264449061
10962,258371.04968630738
8870,193506.3437254247
8496,186597.05136782248
5517,147838.8994148835
927,178218.3531220654
13675,212721.6605086851
1499,217905.26494038332
15536,320445.7745913734
8602,339160.2897124625
12137,387230.8334959825
9865,228499.16579229492
16353,270637.4828406016
15908,214192.44732253358
3944,184739.4623311853
10359,195585.7045635838
15158,225281.32992891673
3259,238201.7726598533
7220,305855.5544134106
13843,203245.729123188
16736,208282.0068781883
702,232972.55507268338
16401,365808.4255666123
12134,188165.6425447721
6918,174501.40264095995
11792,116329.93123328568
3798,181787.66818612214
10395,129823.87485297659
11099,129203.40835634596
7090,210486.65929583943
11260,188404.18538332268
9647,213298.263789621
2903,389722.72679827275
2071,183546.68043930037
8604,189991.9929492242
9346,222012.55316547432
3945,210402.11729046435
3420,145906.58763002054
10842,125482.33886018925
725,161245.72172341688
13931,212341.06807407926
16330,241103.32734199186
9066,421905.8807161622
3326,310947.20026222203
1556,269943.6625714075
6579,124339.00486713156
13877,155084.1637234586
9857,304472.58252624853
7302,305263.67400651495
5684,199770.1399797563
6513,233385.8441179329
11342,110086.6409790266
16561,226244.20600018933
6885,183011.97482108854
9308,177699.21979746217
2559,206811.7197769483
6648,176281.01259975508
15260,163817.17343394182
5113,194480.9183543434
16492,188386.45730263437
12034,273261.4401533238
7248,208728.289116659
2171,201405.02423321267
10594,158799.47403312137
13241,205048.54576830016
7032,145854.75237865234
4884,167893.0523855975
903,211135.25461188867
162,169181.84267936848
6566,253687.76838877203
8249,144796.5929762161
13106,184251.30950196576
256,110330.91608721917
7976,202122.9557296776
8575,251886.845956624
7591,302116.92957861896
3204,280345.2215326068
15804,173684.51122645702
1525,317542.6805611296
9038,225956.7264449061
13628,213665.82119783806
10016,205186.34184080348
10208,222257.98083663182
2008,198569.24175917
13029,186721.4746732076
5099,122847.4877672158
9923,308782.2767613559
9461,120628.38366861452
11086,177819.0592512749
15057,280718.7976435616
10689,261922.51373491448
2053,239721.1608593081
16630,167672.66294789553
4985,205192.94112604012
13881,260009.85947524733
13225,191770.22480529867
5779,70577.10007924911
10262,203016.07796374548
10762,225166.56344600618
9513,197663.29285909896
11128,171780.3569239563
2074,307097.68758277874
933,208158.41451742596
2780,209750.65210113974
6594,120779.10052073805
15394,288591.06331424
14863,154869.774993018
6698,213058.16791331462
1611,235876.29686412125
174,190311.73567874078
5160,196508.4499447182
3295,297045.37982404116
4559,407452.5246615066
8254,171731.05624841532
10228,104950.0402477536
13924,128206.97572493237
15341,242375.5224188452
4353,170117.41025695336
4334,72076.4756900109
1872,237181.25496302507
7823,178132.7814117384
310,148300.65721685748
3704,268693.13142994844
11615,327627.9472029376
6605,204839.67279138265
3381,184107.6127028133
2143,145123.6529494197
3191,280255.1763896384
13980,126035.57358792525
15613,153206.945739223
10943,257201.131586578
9654,198794.4510885936
16053,436907.44843105733
14931,200495.68813493065
8299,228582.04913784037
2147,176886.0253677127
11567,262198.82901853573
5905,133542.8504493531
11160,165960.12002856412
8275,150701.4638893483
16398,263500.5931568536
11229,161419.92968696705
10309,151024.4671760473
7340,257806.82876712666
7653,166531.27152305088
272,201341.18278406
9831,213589.08391276794
5016,150136.59534719703
5968,71355.89902599607
796,258061.4849045109
12123,135798.24021662778
16629,179074.31072972223
2637,167980.5303083197
6194,207622.46586187114
6216,360655.67810467025
14346,179572.91777637677
6428,128970.7620733651
2891,226456.88053903813
84,178896.7296852003
9260,229169.95414479912
15250,128913.10887972226
2348,197843.0631651628
10427,285335.9071526536
13230,265124.80633280595
1691,212467.70393932084
8803,109183.83859339096
5464,220731.83585138968
10559,108046.83226313854
16787,320176.12074623967
4278,155301.87665703494
6183,173158.41686660392
12775,143789.94307001046
10104,182588.96402215367
13663,186308.64631580623
9404,257588.31070599874
14724,221343.851615579
10040,200015.19945471655
4646,185799.7075761506
4754,161522.6308558801
